Name,Date,Priority,Status
Mark,09-09-2021,1,Registered
Alexandre,09-09-2021,2,Dropped Class
Keiandra,09-09-2021,3,Registered
Cetan,09-09-2021,4,Registered
Abdul,09-09-2021,5,Registered
Jesse,09-09-2021,6,Dropped Class
Emily,09-09-2021,7,Registered
Tasharra,09-09-2021,8,Dropped Class
Brendon,09-09-2021,9,Dropped Class
Sawhitney,09-09-2021,10,Dropped Class
Shavel,09-09-2021,11,Registered
Vanna,09-09-2021,12,Left List
Rene,09-09-2021,13,Registered
Toni,09-09-2021,14,Registered
Haibaa,09-09-2021,15,Registered
Shabaan,09-09-2021,16,Registered
Labeeb,09-09-2021,17,Registered
Kiah,09-09-2021,18,Registered
Nabeela,09-09-2021,19,Registered
Ambre,09-09-2021,20,Registered
Presilla,09-09-2021,21,Left List
Kia,09-09-2021,22,Left List
Ryan,09-09-2021,23,Registered
Jillian,09-09-2021,24,Joined
Haajid,09-09-2021,25,Left List
Lubaaba,09-09-2021,26,Joined
Micah,09-09-2021,27,Joined
Cheyenne,09-09-2021,28,Joined
Lolita,09-09-2021,29,Left List
Saara,09-09-2021,30,Joined
Dylan,09-09-2021,31,Left List
Hannah,09-09-2021,32,Joined
Sara,09-09-2021,33,Joined
Kelsey,09-09-2021,34,Joined
Aaron,09-09-2021,35,Left List
Adrian,09-09-2021,36,Joined
Cody,09-09-2021,37,Joined
Marisela,09-09-2021,38,Joined
Au,09-09-2021,39,Left List
Leyvi,09-09-2021,40,Joined
Samantha,09-09-2021,41,Joined
Ethan,09-09-2021,42,Left List
Santos,09-09-2021,43,Left List
Dakota,09-09-2021,44,Left List
Hanyuan,09-09-2021,45,Joined
Yolanda,09-09-2021,46,Joined
Hanlu,09-09-2021,47,Left List
Cindy,09-09-2021,48,Left List
Levi,09-09-2021,49,Joined
Zachery,09-09-2021,50,Left List
Victoria,09-09-2021,51,Joined
Alexandre,10-09-2021,1,Dropped Class
Keiandra,10-09-2021,2,Registered
Cetan,10-09-2021,3,Registered
Abdul,10-09-2021,4,Registered
Jesse,10-09-2021,5,Dropped Class
Emily,10-09-2021,6,Registered
Tasharra,10-09-2021,7,Dropped Class
Brendon,10-09-2021,8,Dropped Class
Sawhitney,10-09-2021,9,Dropped Class
Shavel,10-09-2021,10,Registered
Rene,10-09-2021,11,Registered
Toni,10-09-2021,12,Registered
Haibaa,10-09-2021,13,Registered
Shabaan,10-09-2021,14,Registered
Labeeb,10-09-2021,15,Registered
Kiah,10-09-2021,16,Registered
